"Jahr"	"Klybeck"	"Kleinhüningen"
"2011"	0.040465289	0.034694176
"2012"	0.041334575	0.037090126
"2013"	0.037175676	0.041662113
"2014"	0.035762018	0.040148739
"2015"	0.034900142	0.041880171
"2016"	0.021494958	0.041387672
"2017"	0.021296246	0.040561707
"2018"	0.021913265	0.040634334
"2019"	0.022374066	0.042344041
"2020"	0.021734395	0.037609053
"2021"	0.020810701	0.041930262

