Jahr	Mittlere Wohnfläche pro Person
1997	40.2
1998	40.5
1999	40.9
2000	41.108202876103
2010	42.131702031783
2011	42.029502178246
2012	41.989175837952
2013	42.004384685941
2014	41.7
2015	41.452242279476
2016	41.2698778974
