"Jahr"	"Stromverbrauch Klybeck"	"Stromverbrauch Kleinhüningen"	"Stromverbrauch Basel"
2012	120.472045	35.268619	1545.361385
2014	101.961565	31.009906	1444.927936
2016	98.037444	31.076227	1465.614313
2018	88.531384	29.485979	1343.464532
2020	88.477064	29.485979	1351.913934
2022	65.895933	31.785668	1240.301656
