Steuerjahr	Mittelwert Klybeck	Median Klybeck	Mittelwert Kleinhüningen	Median Kleinhüningen	Mittelwert Stadt Basel	Median Stadt Basel
2005	52486	403.0	60874	1283.0	357146	10074.5
2006	52083	425.5	56156	1307.0	377414	9621.0
2007	50527	527.5	54963	1546.0	364105	9531
2008	49418	397.5	58287	1392.0	342848	10338
2009	52694	567.0	56278	1540.0	366595	10551.5
2010	54235	497.5	59853	1518.0	349958	11060
2011	54427	1000.0	61015	2082.0	331962	12459.5
2012	54090	1000.0	64542	2982.0	381369	14117.5
2013	53921	1066.0	67385	2906.0	424788	13100
2014	57717	1440.0	63484	2776.0	467481	14326
2015	59248	1500.0	68636	2678.0	405490	14519
2016	60372	1964.5	71011	3763.0	441129	16352.5
2017	66050	2241.5	76802	3415.0	391064	17583
2018	68076	2432.0	70326	2868.0	388670	16914
2019	65823	2354.0	75157	3275.0	485502	17264
2020	69595	2974.0	72361	3585.0	495098	19328
2021	75289	3523.5	76407	3421.0	565189	20870
2022	66149	3388.0	66178	3345.0	470305	19069

