Jahr,Weiss nicht / keine Angabe,Sehr unzufrieden,Eher unzufrieden,Eher zufrieden,Sehr zufrieden
2003 (N=347),48,24,107,135,33
2005 (N=366),39,12,114,166,35
2007 (N=280),30,9,74,140,27
2011 (N=331),37,11,85,140,58
2015 (N=237),16,16,93,89,23
