""	"Basel-Stadt"	"Basel-Landschaft"	"Aargau/Solothurn"	"Übrige Schweiz"	"Ausland"
"2008"	27583	14345	4180	2349	3874
"2009"	27917	14806	4090	2581	3873
"2010"	28028	15088	4421	2686	3909
"2011"	28721	15424	4591	2811	3367
"2012"	29252	16412	4918	3064	3235
"2013"	29584	17082	5510	3298	3325
"2014"	29575	18097	5517	3398	3395
"2015"	29580	18640	5690	3566	3277
"2016"	30004	20317	6126	3654	3449
"2017"	29682	20767	6273	3847	3566
"2018"	29846	21104	6574	3910	3670
"2019"	29820	21454	6673	3902	3764
"2020"	27905	20614	6516	3830	3441
"2021"	29221	21807	6957	4343	3867
"2022"	29714	22123	7108	4472	4246
"2023"	29848	22464	7275	4785	4585

