""	"Architekturbüros"	"Ingenieurbüros"	"Technische, physikalische u. chemische Unterstützung"
2012	2167.1	2035.5	275.7
2013	2270.7	2185.5	266.3
2014	2439.3	2182.3	240.5
2015	2361.6	2394.4	220.0
2016	2332.9	2387.8	189.3
2017	2394.3	2573.3	199.8
2018	2509.2	2742.0	206.0
2019	2614.7	2718.9	319.2
2020	2619.2	2723.1	332.7

