Antwort	Nur Mädchen	Nur Jungen	Mädchen und Jungen	Kein Freundeskreis	Keine Antwort	Weiss nicht	Keine Angabe
2009	52	47	599	9	0	0	30
2013	68	63	653	5	0	0	28
2017	89	82	672	12	0	0	53
2021	87	81	561	26	28	14	60
