"Land"	"Anzahl"
"Spanien"	4366
"Portugal"	3518
"Frankreich"	2511
"Vereinigtes Königreich"	1917
"Österreich"	1285
"Niederlande"	829
"Griechenland"	741
"Irland"	427
"Schweden"	351
"Belgien"	328
"Übrige"	644

