Alter	Männer	Frauen
0-4	3.02	2.70
5-9	2.63	2.56
10-14	2.52	2.39
15-19	2.36	2.34
20-24	3.61	3.74
25-29	5.64	5.46
30-34	6.08	5.90
35-39	5.77	5.20
40-44	5.26	4.35
45-49	4.25	3.24
50-54	3.30	2.54
55-59	2.95	2.11
60-64	2.17	1.54
65-69	1.65	1.20
70-74	0.92	0.80
75-79	0.47	0.54
80-84	0.21	0.31
85-89	0.06	0.13
90-94	0.02	0.06
95 u.m.	0.01	0.02
