Wohnviertel,Einkommenssteuer pro Veranlagung 2013,Rang
Klybeck,4486.0079576,1
Kleinhüningen,5162.5021834,2
Rosental,5783.2405609,3
Matthäus,6286.6448547,4
St. Johann,6338.095167,5
Iselin,6358.4781801,6
Clara,6393.9031238,7
Gundeldingen,7015.5679743,8
Hirzbrunnen,7150.8539806,9
Breite,7200.9137421,10
Altstadt Kleinbasel,8131.5571429,11
Gotthelf,8591.7451399,12
Wettstein,9902.2080699,13
Bachletten,11286.095512,14
Am Ring,11520.438408,15
Riehen,13082.421204,16
Bettingen,13690.040752,17
St. Alban,15633.891206,18
Vorstädte,16127.909889,19
Altstadt Grossbasel,17343.393735,20
Bruderholz,19364.924846,21
