"Alter"	"Männer"	"Frauen"
"0-4"	2.18	2.07
"5-9"	2.23	2.09
"10-14"	2.15	2.02
"15-19"	2.25	2.19
"20-24"	2.77	3.22
"25-29"	3.32	3.75
"30-34"	3.50	3.55
"35-39"	3.05	3.07
"40-44"	2.86	2.88
"45-49"	2.63	2.72
"50-54"	2.78	2.91
"55-59"	3.32	3.73
"60-64"	3.29	3.69
"65-69"	2.82	3.27
"70-74"	2.45	3.03
"75-79"	2.13	2.86
"80-84"	1.58	2.53
"85-89"	0.99	1.93
"90-94"	0.49	1.15
"95 u.m."	0.11	0.44

