"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	38.148	""	""	""
"1986"	38.782	""	""	""
"1987"	39.247	""	""	""
"1988"	39.671	""	""	""
"1989"	39.881	""	""	""
"1990"	39.283	""	""	""
"1991"	39.413	""	""	""
"1992"	39.282	""	""	""
"1993"	39.181	""	""	""
"1994"	39.272	""	""	""
"1995"	39.503	""	""	""
"1996"	39.852	""	""	""
"1997"	40.171	""	""	""
"1998"	40.535	""	""	""
"1999"	40.866	""	""	""
"2000"	41.108	""	""	""
"2001"	41.432	""	""	""
"2002"	41.508	""	""	""
"2003"	41.603	""	""	""
"2004"	41.669	""	""	""
"2005"	41.984	""	""	""
"2006"	42.183	""	""	""
"2007"	42.217	""	""	""
"2008"	41.992	""	""	""
"2009"	41.941	""	""	""
"2010"	42.132	""	""	""
"2011"	42.030	""	""	""
"2012"	41.989	""	""	""
"2013"	42.020	""	""	""
"2014"	41.684	""	""	""
"2015"	41.455	""	""	""
"2016"	41.279	""	""	""
"2017"	41.063	""	""	""
"2018"	41.045	""	""	""
"2019"	41.365	""	""	""
"2020"	41.501	""	""	""
"2021"	41.661	""	""	""
"2022"	41.558	""	""	""
"2023"	41.569	""	""	""
"2024"	41.519	""	""	""
"2025"	41.296	""	""	""
"2026"	""	40.967	41.328	41.798
"2027"	""	40.946	41.360	41.990
"2028"	""	40.925	41.392	42.182
"2029"	""	40.904	41.424	42.374
"2030"	""	40.883	41.456	42.566
"2031"	""	40.862	41.488	42.758
"2032"	""	40.841	41.520	42.950
"2033"	""	40.820	41.552	43.142
"2034"	""	40.800	41.584	43.335
"2035"	""	40.779	41.616	43.527
"2036"	""	40.758	41.648	43.719
"2037"	""	40.737	41.680	43.911
"2038"	""	40.716	41.712	44.103
"2039"	""	40.695	41.744	44.295
"2040"	""	40.674	41.776	44.487
"2041"	""	40.653	41.808	44.679
"2042"	""	40.632	41.840	44.871
"2043"	""	40.611	41.871	45.063
"2044"	""	40.591	41.903	45.255
"2045"	""	40.570	41.935	45.447
"2046"	""	40.549	41.967	45.639
"2047"	""	40.528	41.999	45.831
"2048"	""	40.507	42.031	46.023
"2049"	""	40.486	42.063	46.215
"2050"	""	40.465	42.095	46.408

