Wohnviertel,Vermögenssteuer pro Veranlagung 2013,Rang
Klybeck,162.1977333,1
Kleinhüningen,207.74610106,2
Rosental,240.50197771,3
Iselin,425.08366863,4
Matthäus,426.09984706,5
Clara,436.89323843,6
Gundeldingen,467.21327303,7
Breite,482.15108977,8
St. Johann,486.03965292,9
Hirzbrunnen,681.39708738,10
Altstadt Kleinbasel,1123.2948052,11
Wettstein,1229.5143029,12
Bachletten,1762.144018,13
Bettingen,2844.7711599,14
Am Ring,3212.0137397,15
Riehen,3296.1133034,16
Gotthelf,3483.3688952,17
St. Alban,4206.1965759,18
Altstadt Grossbasel,5188.1848894,19
Vorstädte,7828.9125886,20
Bruderholz,19314.398374,21
