Kategorie	Gymnasium	Andere weiterführende Schulen	Brückenangebote/12. Schuljahr	Berufliche Grundbildung	Andere Lösung/Unbekannt	Keine Lösung
Alle	36.2007168458781	8.17204301075269	31.9713261648746	14.6953405017921	7.95698924731183	1.00358422939068
.						
Männl.	32.8358208955224	5.83446404341927	33.5142469470828	19.2672998643148	7.05563093622795	1.49253731343284
Weibl.	39.9696048632219	10.790273556231	30.2431610942249	9.57446808510638	8.96656534954407	0.455927051671732
.						
Deutsch	51.7492711370262	8.89212827988338	16.9096209912536	14.4314868804665	7.5801749271137	0.43731778425656
Fremdsp.	21.1565585331453	7.475317348378	46.5444287729196	14.950634696756	8.32157968970381	1.55148095909732
.						
Schweiz	44.8275862068966	8.85057471264368	23.3333333333333	15.5172413793103	7.01149425287356	0.459770114942529
Ausland	21.7557251908397	7.06106870229008	46.3740458015267	13.3587786259542	9.54198473282443	1.90839694656489
