""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2013-01"	0.076753	26
"2013-02"	0.076753	25
"2013-03"	0.076753	23
"2013-04"	0.076753	19
"2013-05"	0.076753	20
"2013-06"	0.076753	18
"2013-07"	0.076753	13
"2013-08"	0.076753	12
"2013-09"	0.076753	10
"2013-10"	0.076753	12
"2013-11"	0.076753	16
"2013-12"	0.076753	16
"2014-01"	0.061403	12
"2014-02"	0.061403	16
"2014-03"	0.061403	13
"2014-04"	0.061403	15
"2014-05"	0.061403	14
"2014-06"	0.061403	15
"2014-07"	0.061403	16
"2014-08"	0.061403	15
"2014-09"	0.061403	14
"2014-10"	0.061403	12
"2014-11"	0.061403	13
"2014-12"	0.061403	13
"2015-01"	0.049341	12
"2015-02"	0.049341	12
"2015-03"	0.049341	11
"2015-04"	0.049341	12
"2015-05"	0.049341	9
"2015-06"	0.049341	12
"2015-07"	0.049341	10
"2015-08"	0.049341	10
"2015-09"	0.049341	11
"2015-10"	0.049341	10
"2015-11"	0.049341	13
"2015-12"	0.049341	13
"2016-01"	0.064692	14
"2016-02"	0.064692	12
"2016-03"	0.064692	11
"2016-04"	0.064692	12
"2016-05"	0.064692	13
"2016-06"	0.064692	13
"2016-07"	0.064692	14
"2016-08"	0.064692	15
"2016-09"	0.064692	16
"2016-10"	0.064692	18
"2016-11"	0.064692	18
"2016-12"	0.064692	21
"2017-01"	0.067250	20
"2017-02"	0.067250	20
"2017-03"	0.067250	19
"2017-04"	0.067250	19
"2017-05"	0.067250	12
"2017-06"	0.067250	9
"2017-07"	0.067250	13
"2017-08"	0.067250	13
"2017-09"	0.067250	14
"2017-10"	0.067250	17
"2017-11"	0.067250	13
"2017-12"	0.067250	15
"2018-01"	0.063230	19
"2018-02"	0.063230	17
"2018-03"	0.063230	24
"2018-04"	0.063230	19
"2018-05"	0.063230	16
"2018-06"	0.063230	10
"2018-07"	0.063230	11
"2018-08"	0.063230	10
"2018-09"	0.063230	7
"2018-10"	0.063230	11
"2018-11"	0.063230	14
"2018-12"	0.063230	15
"2019-01"	0.055555	15
"2019-02"	0.055555	12
"2019-03"	0.055555	14
"2019-04"	0.055555	13
"2019-05"	0.055555	15
"2019-06"	0.055555	12
"2019-07"	0.055555	13
"2019-08"	0.055555	10
"2019-09"	0.055555	11
"2019-10"	0.055555	11
"2019-11"	0.055555	12
"2019-12"	0.055555	14
"2020-01"	0.074560	15
"2020-02"	0.074560	15
"2020-03"	0.074560	20
"2020-04"	0.074560	20
"2020-05"	0.074560	21
"2020-06"	0.074560	21
"2020-07"	0.074560	21
"2020-08"	0.074560	19
"2020-09"	0.074560	14
"2020-10"	0.074560	12
"2020-11"	0.074560	12
"2020-12"	0.074560	14
"2021-01"	0.042397	15
"2021-02"	0.042397	14
"2021-03"	0.042397	16
"2021-04"	0.042397	13
"2021-05"	0.042397	10
"2021-06"	0.042397	9
"2021-07"	0.042397	5
"2021-08"	0.042397	9
"2021-09"	0.042397	7
"2021-10"	0.042397	6
"2021-11"	0.042397	5
"2021-12"	0.042397	7
"2022-01"	0.038011	11
"2022-02"	0.038011	11
"2022-03"	0.038011	14
"2022-04"	0.038011	9
"2022-05"	0.038011	9
"2022-06"	0.038011	9
"2022-07"	0.038011	8
"2022-08"	0.038011	7
"2022-09"	0.038011	7
"2022-10"	0.038011	7
"2022-11"	0.038011	5
"2022-12"	0.038011	7

