wohnviertel_id	Anteil Konfessionslose	Rang	wohnviertel	jahr_num
19	0.391289319	1	Kleinhüningen	2016
18	0.4180783116	2	Klybeck	2016
16	0.4252136752	3	Rosental	2016
6	0.4513532122	4	Gundeldingen	2016
10	0.4521040643	5	Iselin	2016
30	0.4571428571	6	Bettingen	2016
17	0.4620213434	7	Matthäus	2016
11	0.4664676405	8	St. Johann	2016
20	0.4744059807	9	Riehen	2016
8	0.4749279965	10	Bachletten	2016
7	0.4768679409	11	Bruderholz	2016
13	0.4789957743	12	Clara	2016
15	0.4895991333	13	Hirzbrunnen	2016
4	0.4905998209	14	Breite	2016
5	0.4913729809	15	St. Alban	2016
9	0.4942226123	16	Gotthelf	2016
3	0.5071734675	17	Am Ring	2016
1	0.5161036921	18	Altstadt Grossbasel	2016
14	0.529213881	19	Wettstein	2016
2	0.5459976105	20	Vorstädte	2016
12	0.5612980769	21	Altstadt Kleinbasel	2016
