Wohnviertel,Anteil Einpersonenhaushalte 2015,Rang
Bettingen,0.284210526,1
Riehen,0.35619329,2
Bruderholz,0.359410147,3
Hirzbrunnen,0.394010846,4
Kleinhüningen,0.401081917,5
Bachletten,0.437724014,6
Klybeck,0.447520185,7
Rosental,0.453775821,8
St. Johann,0.46503689,9
St. Alban,0.470313901,10
Matthäus,0.477407174,11
Wettstein,0.486695857,12
Clara,0.500725689,13
Gundeldingen,0.507531172,14
Iselin,0.513117547,15
Breite,0.515809051,16
Am Ring,0.525467204,17
Gotthelf,0.532449973,18
Altstadt Grossbasel,0.544217687,19
Vorstädte,0.556756757,20
Altstadt Kleinbasel,0.571428571,21

