wohnviertel_id_kdm	Wohnviertel Name	2018	Differenz 2018 zu 1999	1999
1	Altstadt GB	0.416666666667	-0.326275383853	0.742942050520
2	Vorstädte	1.687027341478	-1.446966902206	3.133994243684
3	Am Ring	0.399552501199	-1.518436916790	1.917989417989
4	Breite	0.825361095479	-0.128503027550	0.953864123029
5	St. Alban	1.407559702673	0.103920376220	1.303639326453
6	Gundeldingen	0.529005648704	-1.515303564950	2.044309213654
7	Bruderholz	0.656554222323	0.197100971691	0.459453250632
8	Bachletten	0.495185694635	0.13068268047	0.364503014160
9	Gotthelf	0.605033881897	-0.499938493794	1.104972375691
10	Iselin	0.634011657634	-0.924239754205	1.558251411839
11	St. Johann	0.807961375505	-1.144534598730	1.952495974235
12	Altstadt KB	0.886637112096	-0.739908105861	1.626545217957
13	Clara	1.054852320675	-1.006531096641	2.061383417316
14	Wettstein	0.337009803922	-0.925868228647	1.262878032569
15	Hirzbrunnen	0.320034136975	-0.498549933821	0.818584070796
16	Rosental	1.046380090498	-1.783397880769	2.829777971267
17	Matthäus	0.552860205348	-2.367687109818	2.920547315166
18	Klybeck	0.319914689416	-1.345841727842	1.665756417258
19	Kleinhüningen	0.734753857458	-0.209384616185	0.944138473643
20	Riehen	0.849830999517	0.126811329129	0.723019670388
30	Bettingen	1.587301587302	1.124338624339	0.462962962963
