	Sehr	Eher	Eher nicht	Gar nicht	Weiss nicht	Keine Angabe
2003	19	64	72	53	0	0
2005	32	76	71	44	0	0
2007	22	73	71	46	0	0
2011	23	71	60	25	0	0
2015	18	42	29	7	1	0
2019	14	39	67	27	7	1

