	Kanton Basel-Stadt ohne Wald	Kanton Basel-Stadt Wald	Stadt Basel ohne Wald	Stadt Basel Wald	Riehen ohne Wald	Riehen Wald	Bettingen ohne Wald	Bettingen Wald
2012	15.90	8.60	14.76	2.31	19.20	16.52	14.76	34.60
2021	16.99	8.36	15.69	2.27	20.74	15.97	15.79	33.30
2024	16.46	7.98	15.11	2.05	20.34	15.23	15.19	32.99
