"Jahr"	"Biodiversitätsförderflächen in der Landwirtschaft"
2010	9.67
2011	11.66
2012	12.66
2013	12.36
2014	12.97
2015	16.49
2016	17.33
2017	17.66
2018	17.74
2019	18.96
2020	20.35
2021	20.13
2022	20.46
2023	20.61
2024	21.05
