	Sehr gut	Eher gut	Eher nicht gut	Gar nicht gut	Weiss nicht	Keine Angabe
2003	314	926	212	31	14	0
2005	145	513	100	21	3	0
2007	151	499	98	12	2	0
2011	312	561	98	31	2	1
2015	295	595	102	18	4	0
2019	369	1221	323	72	54	69
2023	420	1056	268	45	51	214

