Jahr,übriges Ausland,Maghreb und Ägypten,Mittel- und Südamerika,EU-Oststaaten,Ehem. Jugoslawien ohne SLO,Türkei,Spanien,Italien,Deutschland
2006,7.5,0.2,0.9,0.7,5.6,4.1,1.7,4.6,5.9
2007,7.8,0.3,0.9,0.8,5.2,3.9,1.6,4.4,6.5
2008,8.2,0.3,0.9,0.9,4.8,3.7,1.5,4.3,7
2009,8.8,0.3,1,1,4.6,3.6,1.5,4.2,7.5
2010,8.9,0.3,1,1,4.6,3.6,1.5,4.2,7.6
2011,9.4,0.3,1,1.2,4.5,3.5,1.5,4.2,7.7
2012,9.8,0.3,1,1.3,4.5,3.4,1.6,4.1,7.7
2013,10.2,0.3,1,1.5,4.4,3.4,1.7,4.2,7.9
2014,10.5,0.3,1,1.6,4.3,3.3,1.8,4.2,8
2015,10.7,0.3,1,1.7,4.2,3.2,1.9,4.2,8
