Jahr	Besucher Swissbau	Besucher Baselworld	Besucher Art Basel	Besucher Igeho	Besucher Muba (rechte Skala) 
1982			49002		416000
1983	104135		54141	62075	425000
1984		77405	49136		454000
1985	120773	81247	53614	67378	436000
1986		91151	54386		457000
1987	144559	85317	61365	95113	497000
1988		88406	60244		542000
1989	152497	92338	58106	84222	478000
1990		90563	60621		479000
1991	143054	90689	35385	83594	450000
1992		86058	38773		448000
1993	143144	79067	41310	86445	420000
1994		81224	44006		439000
1995	153430	80588	50000	81895	400000
1996		77846	46000		400000
1997	120000	74486	47000	76582	400000
1998	71312	76767	51000		415000
1999	110000	80400	52000	80023	428000
2000	66348	85000	53000		403000
2001	104167	86700	55000	78389	347000
2002	60540	82500	50000		371000
2003	92990	64350	50000	80432	296800
2004		89350	52000		332422
2005	110000	89700	56000	78052	333458
2006		94200	56000		336974
2007	119774	101700	60000	80240	328712
2008		106800	60000		302415
2009		93900	61000	78074	303288
2010	108269	100700	62500		301520
2011		103200	65000	74727	302846
2012	115111	104300	65000		304200
2013		122000	86000	75781	159824
2014	104156	118000	92000		163642
2015		150000	98000	70927	132234
2016	104978	145000	95000		131893
2017		135000	95000	70153	144365
2018	97919	135000	95000		123746
