"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	55767	""	""	""
"1986"	55214	""	""	""
"1987"	54644	""	""	""
"1988"	53821	""	""	""
"1989"	53436	""	""	""
"1990"	53680	""	""	""
"1991"	53793	""	""	""
"1992"	53973	""	""	""
"1993"	54060	""	""	""
"1994"	54045	""	""	""
"1995"	53530	""	""	""
"1996"	52906	""	""	""
"1997"	52390	""	""	""
"1998"	52034	""	""	""
"1999"	51417	""	""	""
"2000"	50814	""	""	""
"2001"	50609	""	""	""
"2002"	50481	""	""	""
"2003"	50346	""	""	""
"2004"	50510	""	""	""
"2005"	50375	""	""	""
"2006"	50598	""	""	""
"2007"	50848	""	""	""
"2008"	51342	""	""	""
"2009"	51455	""	""	""
"2010"	51433	""	""	""
"2011"	52012	""	""	""
"2012"	52417	""	""	""
"2013"	53061	""	""	""
"2014"	53382	""	""	""
"2015"	53323	""	""	""
"2016"	53763	""	""	""
"2017"	54034	""	""	""
"2018"	54582	""	""	""
"2019"	54775	""	""	""
"2020"	55069	""	""	""
"2021"	55108	""	""	""
"2022"	""	55329	55066	54788
"2023"	""	55794	55239	54642
"2024"	""	56369	55496	54542
"2025"	""	57051	55832	54485
"2026"	""	57825	56237	54460
"2027"	""	58668	56690	54453
"2028"	""	59545	57168	54450
"2029"	""	60415	57642	54436
"2030"	""	61242	58088	54400
"2031"	""	61995	58486	54335
"2032"	""	62658	58825	54240
"2033"	""	63227	59103	54120
"2034"	""	63707	59324	53981
"2035"	""	64114	59496	53832
"2036"	""	64461	59631	53679
"2037"	""	64763	59736	53527
"2038"	""	65035	59820	53377
"2039"	""	65285	59889	53231
"2040"	""	65520	59948	53087
"2041"	""	65747	59999	52942
"2042"	""	65967	60043	52796
"2043"	""	66182	60084	52647
"2044"	""	66394	60120	52494
"2045"	""	66603	60152	52339

