"Jahr"	"Gelöster Organischer Kohlenstoff (DOC)"	"Grenzwert"
2007	9	10
2008	9	10
2009	10	10
2010	10	10
2011	10	10
2012	10	10
2013	9	10
2014	9	10
2015	8	10
2016	9	10
2017	10	10
2018	10	10
2019	13	10
2020	9	10
2021	10	10
2022	12	10
2023	9	10
2024	8	10
