"Gemeinde"	"GemeindeDescr"	"Bevölkerungsdichte"
FR_68248	Oltingue	50.968703428
FR_68254	Petit-Landau	46.830382638
FR_68259	Raedersdorf	65.087956698
FR_68263	Ranspach-le-Bas	142.66365688
FR_68264	Ranspach-le-Haut	142.59681093
FR_68265	Rantzwiller	146.43510055
FR_68273	Riespach	85.336856011
FR_68284	Roppentzwiller	160.24096386
FR_68286	Rosenau	369.08809892
FR_68288	Ruederbach	87.892376682
FR_68297	Saint-Louis	1337.0919881
FR_68309	Sierentz	324.96217852
FR_68312	Sondersdorf	37.440758294
FR_68325	Steinsoultz	184.48275862
FR_68327	Stetten	77.777777778
FR_68341	Uffheim	250.2293578
FR_68347	Vieux-Ferrette	96.983408748
FR_68349	Village-Neuf	675.98828697
FR_68353	Wahlbach	77.223088924
FR_68355	Waldighofen	375.60386473
FR_68357	Waltenheim	220.68965517
FR_68362	Wentzwiller	165.81740977
FR_68363	Werentzhouse	139.77777778
FR_68371	Willer	48.148148148
FR_68380	Wolschwiller	42.702169625
FR_68382	Zaessingue	76.152304609
