"Jahr"	"Hoch"	"Eher hoch"	"Eher tief"	"Tief"	"Keine Angabe"
"Periode 1: 1984-2000"	487	2050	1281	587	14
"Periode 2: 2002-2014"	2242	5062	2287	1005	126
