Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2023	743	824	165	15	191	47
2019	783	819	160	16	161	82
2015	613	722	93	6	64	0
2011	731	629	99	10	39	2
2007	493	808	126	10	62	0
2005	518	781	120	24	61	0
2003	587	690	116	15	80	0
