"Altersgruppe"	"Männlich"	"Weiblich"
"0-4"	496	497
"5-9"	422	423
"10-14"	566	509
"15-19"	595	637
"20-24"	280	438
"25-29"	242	396
"30-34"	445	539
"35-39"	537	693
"40-44"	589	725
"45-49"	486	556
"50-54"	393	376
"55-59"	233	241
"60-64"	150	142
"65-69"	100	64
"70-74"	65	35
"75-79"	32	17
"80-84"	9	2
"85-89"	2	0
"90-94"	1	1

