Jahr	C-Bewilligung	B-Bewilligung	Übrige
2009	530	267	132
2010	560	246	151
2011	602	264	299
2012	505	251	224
2013	483	236	194
2014	506	236	164
2015	525	269	140
2016	502	271	216
2017	494	277	154
2018	537	289	154
