Jahr	Basel-Binningen (vorstädtisch, keine Bebauung)	Feldbergstrasse, Basel (Stadtzentrum, geschlossene Bebauung)	St. Johann, Basel (Stadtzentrum, offene Bebauung)	Klingelbergstrasse, Basel (Stadtzentrum, 38 m über Grund)	Sissach (vorstädtisch, offene Bebauung)	Dornach (vorstädtisch, offene Bebauung)
1995	1					
1996	0					
1997	0					
1998	3					
1999	1					
2000	0					
2001	0					
2002	0					
2003	8					
2004	1					
2005	2					
2006	4					
2007	0					
2008	1					
2009	1					
2010	2	22	16	5	0	7
2011	2	14	14	6	2	3
2012	4	17	16	6	3	4
2013	4	23	18	6	4	7
2014	0	12	11	1	0	1
2015	11	40	34	21	1	22
2016	1	23	19	1	0	4
2017	6	40	35	11	1	9
2018	3	43	38	9	0	6
2019	6	34	31	10	3	10
2020	3	28	24	8	1	7
2021	1	6	6	5	0	0
2022	5	19	13	11	2	4
2023	3	24	17	12	1	6
2024	2	21	23	13	3	4
