jahr	Basel-Stadt	Genf	Zürich	BIP BS CHF	BIP GE CHF	BIP ZH CHF	Einwohner BS	Einwohner_GE	Einwohner ZH
1995	93993.8604435449	77228.4585137748	72413.5057392391	18521837148.9684	30250286512.5554	84620117787.5634	197053.691183299	391698.696241099	1168568.16865462
1996	93144.3477238223	77992.4546202792	74211.3413121202	18233857275.2674	30843288936.6548	87232525017.5967	195759.138593484	395465.036801587	1175460.83220234
1997	92638.0161944894	80721.2150084309	77006.184373194	18056358750.2104	31851531729.3809	90778766087.17	194913.055049688	394586.871940099	1178850.33294508
1998	96425.2405204564	82511.2024647701	80091.7760738246	18615210813.0093	32728759366.5765	94637390220.8348	193053.299245441	396658.373516623	1181611.83157685
1999	99713.7661386379	83303.6336419802	81961.0671705409	18995976351.538	33230635965.1196	97337810310.9002	190505.053486063	398909.801557243	1187610.33343263
2000	108804.634077152	87004.8819858483	87109.4376122438	20505106590.9789	35068693339.4342	104406773211.822	188458.026304642	403065.81123963	1198570.16729433
2001	117161.644608786	85502.6393583596	86675.7776001309	21986764406.2729	34943672172.2139	105020662195.25	187661.793923163	408685.304154853	1211649.49543056
2002	122961.541640425	84230.9458627273	84558.3995518705	22928484107.2799	34839466708.7091	103747094174.168	186468.743002015	413618.372106228	1226928.3090029
2003	127973.502455871	84338.8360915481	84906.0852898798	23895100740.5725	35316632209.1958	105394844782.73	186719.127647633	418746.971690009	1241310.84860289
2004	134861.03458816	86605.603366092	86205.0686380216	25172258660.4606	36720303473.1598	107746926396.367	186653.31122019	423994.545917991	1249890.84863212
2005	140653.070250334	90678.2439654794	88381.0972710091	26267358031.5589	38755368415.5782	111520047070.418	186752.823701667	427394.342024666	1261808.80882771
2006	150990.329217779	96546.2474117839	93682.9393876351	28023857577.5377	41576620449.6836	119220019784.61	185600.347536946	430639.424775913	1272590.51182531
2007	161529.374267851	103520.417303538	99763.2250472227	29854156911.9093	44848738494.3844	128100986182.137	184821.844616352	433235.681062614	1284050.17100741
2008	165143.64587449	106579.519735132	100461.007583569	30588931897.4528	46700808366.1111	131359747789.061	185226.211613982	438178.071004359	1307569.48341165
2009	161855.28080205	101799.909572481	96492.5169329257	30213910477.4361	45413493176.1463	128598488789.087	186672.379966322	446105.437292283	1332730.17304004
2010	163049.645494745	103860.050795567	96277.9855691962	30636651057.484	47078984566.1337	130100592289.316	187897.685790868	453292.523983082	1351301.56203581
2011	169570.014789964	102870.557260818	96910.5711817288	31361938371.0096	47085343271.5158	133064845804.284	184949.788498018	457714.476574048	1373068.42980791
2012	171581.072324617	102186.651972806	96928.3596168382	31957723759.4898	47060397999.2487	134962963097.845	186254.365510832	460533.710525836	1392399.1247903
2013	169672.967840768	102841.492538776	97258.5564509247	31800893760.9966	47626023461.4926	136996440404.293	187424.633196966	463101.247227963	1408579.82478302
2014	170354.85898419	102434.38353473	97632.482921762	32254041681.4893	48086161472.2203	139178975506.426	189334.439145541	469433.795693387	1425539.64972864
2015	169438.891155888	99194.0121010531	97283.21404708	32291772647.0363	47353687595.6539	140705798687.086	190580.641945579	477384.537560722	1446352.28251188
2016	170198.069639156	97477.034073358	96147.2154500331	32646819875.9948	47250691280.2218	140992301270.318	191816.628386037	484736.653401482	1466421.0566097
2017	173368.609995379	97895.703404282	96630.4105505036	33472386805.5861	47922225528.8591	143783117832.248	193070.630297366	489523.276940497	1487969.64654414
