Jahr	Auslastung	Pensions- und Pflegetage
2011	0.9808	1015653
2012	0.9833	1023525
2013	0.9540	1012269
2014	0.9309	1047484
2015	0.9405	1079616
2016	0.9579	1098388
2017	0.9501	1095822
2018	0.9573	1097812
2019	0.9586	1086785
2020	0.9320	1058702
2021	0.8930	1008730
2022	0.9220	1017551
2023	0.9480	1035673
