	2008	2012	2015	2017	2019	2021
Genferseeregion	1.7	1.4	1.6	1.4	1.6	1.3
Nordwestschweiz	6.4	5.7	6.1	6.1	6.2	6.9
Zürich	0.7	1.0	1.2	1.1	1.2	1.4
