Jahr	Basel	Bern	Genf	Liestal	Zürich
2006	80409	59298	77802	73326	61525
2007	80409	59298	77802	73326	61527
2008	78626	58248	77826	63660	60844
2009	76170	59298	72529	58240	60844
2010	76170	59230	72499	50407	60844
2011	73668	56863	72262	55133	60846
2012	72390	56863	72262	55133	60864
2013	71120	56863	72262	55133	60724
2014	71120	56863	72262	55133	60724
2015	71120	56863	72194	55133	60724
2016	71120	56836	72194	55133	60722
2017	71120	56836	72194	55150	60724
