"Jahr"	"Heizöl"	"Erdgas"	"Kehricht und Industrieabfall (nicht erneuerbar)"	"Elektrizität (Bezug ausserkantonal)"	"Fern-/Nahwärme  (Bezug ausserkantonal)"	"Treibstoffe"	"Erneuerbare"
2010	549.45872802	1960.6277103	449.527804	1254.7354266		813.83650481	740.7937143
2012	478.82687971	1716.892918	469.1767874	1121.695894		756.19301656	818.77449895
2014	394.40897289	1419.632785	473.2006668	978.378343		767.911986	889.73550071
2016	302.80371524	1475.3440648	461.5393	974.612639	5.373957	767.873269	970.35165685
2018	273.02334711	1336.413626	452.2819552	912.029764	4.345729	757.815644	943.10027636
2020	254.43051378	1239.129465	420.81897	875.1703953	5.043015	584.289781	1087.7475305
2022	231.902856	1121.787824	455.876239	777.77012799	4.140542	557.885621	1074.4373452
