Steuerjahr	Mittelwert Klybeck	Median Klybeck	Mittelwert Kleinhüningen	Median Kleinhüningen	Mittelwert Stadt Basel	Median Stadt Basel
2005	44672	41870.5	45554	41856.5	59512	47285
2006	44314	41565.0	45715	41584.0	60183	47294
2007	44955	41678.5	45914	42523.5	62509	48299
2008	42861	39481.5	43807	40363.0	62459	46153
2009	42727	39440.0	43199	40213.0	62587	46748.5
2010	42403	38528.0	42674	39383.0	63296	46820
2011	42347	38489.0	43744	40608.5	62045	47154
2012	41688	37928.5	44965	40968.0	62611	47164
2013	42571	38251.0	46638	41468.0	64236	47614
2014	42361	38332.0	45488	41881.0	65739	47824
2015	42281	37400.0	45955	41403.0	65336	47985.5
2016	41703	36802.5	46046	41368.0	66842	48126
2017	41569	36178.0	45664	40315.0	66344	48267
2018	42095	36481.0	45220	39860.0	66889	48454
2019	41971	36478.0	45039	39848.0	69186	48669
2020	42592	36813.0	44788	39587.0	70549	48980
2021	43423	37534.0	44597	39088.0	73241	49666
2022	43766	37996.0	45703	40440.0	73075	50549
