"Kaderstufe"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arab. Länder"	"Afrikan. Länder"	"Übrige Länder"
"Oberes Kader"	183	8	0	0	1	0	0	0	0	0	0
"Mittleres Kader"	225	26	0	0	10	0	0	0	0	0	0
"Mittleres Fachkader"	142	17	1	0	4	0	0	0	0	0	0
"Unteres Kader"	407	47	1	0	9	0	0	1	0	0	0
"Unteres Fachkader"	137	17	1	0	1	0	1	0	0	0	0
