"Jahr"	"Männer"	"Männer 95% Vertrauensintervall Untergrenze"	"Männer 95% Vertrauensintervall Obergrenze"	"Frauen"	"Frauen 95% Vertrauensintervall Untergrenze"	"Frauen 95% Vertrauensintervall Obergrenze"	"Total"	"Total 95% Vertrauensintervall Untergrenze"	"Total 95% Vertrauensintervall Obergrenze"
2004	17.1958	16.9361	17.4555	30.2429	29.9086	30.5773	23.9111	23.6886	24.1337
2007	18.1048	17.8024	18.4071	29.9734	29.6069	30.3400	24.2034	23.9558	24.4510
2010	16.2514	15.8456	16.6572	27.9510	27.4054	28.4966	22.2198	21.8644	22.5752
2013	17.2924	16.8970	17.6877	27.5398	27.0087	28.0708	22.5022	22.1601	22.8443
2016	17.9213	17.5217	18.3208	28.0615	27.4883	28.6348	23.0701	22.7093	23.4308
2020	19.1373	18.7393	19.5353	28.7183	28.1419	29.2947	23.9904	23.6301	24.3507

