"Jahr"	"Kantone Basel-Stadt und Basel-Landschaft"	"Zielwert"
1990	18740	2900
1995	10700	2900
2000	5830	2900
2005	4090	2900
2010	3960	2900
2015	2990	2900
2020	2750	2900
