Antwort	Stimmt genau	Stimmt eher	Stimmt eher nicht	Stimmt gar nicht	Weiss nicht	Keine Angabe
2009	1708	1113	153	39	40	66
2013	1206	793	110	27	34	61
2017	939	583	65	18	29	31
