"CityDescr"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	81417	172693	99370	42902
Bern	72299	136127		
Genf	84804	164434		154626
Lausanne	65876	134836		
Zürich	228517	484629		
