""	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2016-01"	1102	77
"2016-02"	1086	53
"2016-03"	1123	50
"2016-04"	1118	50
"2017-01"	1064	74
"2017-02"	1155	57
"2017-03"	1182	44
"2017-04"	1179	43
"2018-01"	1121	59
"2018-02"	1238	39
"2018-03"	1236	34
"2018-04"	1203	36
"2019-01"	1254	52
"2019-02"	1250	47
"2019-03"	1296	49
"2019-04"	1308	56
"2020-01"	1332	69
"2020-02"	1374	37
"2020-03"	1344	26
"2020-04"	1290	28
"2021-01"	1357	29
"2021-02"	1277	30
"2021-03"	1321	25
"2021-04"	1345	26
"2022-01"	1403	22
"2022-02"	1448	24
"2022-03"	1479	28
"2022-04"	1448	27
"2023-01"	1497	31
"2023-02"	1599	28
"2023-03"	1526	23
"2023-04"	1496	17
"2024-01"	1626	16
"2024-02"	1636	24
"2024-03"	1644	25
"2024-04"	1619	23
"2025-01"	1666	21
"2025-02"	1671	23
"2025-03"	1769	19
"2025-04"	"."	36

