"Jahr"	"Laden"	"Büro"	"Gewerbe"	"Produktion"	"Lager"	"Total"
2016	10559	54565	7793	2035	11291	86243
2017	11956	59699	17388	380	20317	109740
2018	12060	58024	16987	1098	19178	107347
2019	10624	61674	10161	3897	12287	98643
2020	9220	76480	18532	1791	14520	120543
2021	16033	122422	23556	410	22258	184679
2022	16317	110692	47038	3000	24543	201590
2023	15081	134317	24498	1242	15450	190588
2024	11026	175109	31903	0	31156	249194
2025	12223	132740	37804	100	17572	200439		




