Jahr	Effektiv	Referenzszenario	Hohes Szenario	Tiefes Szenario
2010	184950			
2011	186255			
2012	187425			
2013	189335			
2014	190580			
2015	191817			
2016	193070			
2017	193908			
2018	194766			
2019	195844			
2020	196735			
2021	196036			
2022	196786			
2023	200031			
2024		200767	201760	199744
2025		201525	203568	199403
2026		202289	205431	199065
2027		203064	207336	198723
2028		203857	209277	198372
2029		204648	211238	198006
2030		205427	213211	197630
2031		206198	215205	197231
2032		206890	217037	196813
2033		207488	218708	196379
2034		207992	220194	195924
2035		208402	221512	195455
2036		208769	222781	194960
2037		209118	224010	194444
2038		209428	225187	193914
2039		209726	226314	193375
2040		209989	227412	192810
2041		210228	228485	192233
2042		210465	229541	191636
2043		210684	230583	191020
2044		210906	231624	190404
2045		211114	232646	189763
2046		211302	233667	189111
2047		211491	234680	188452
2048		211683	235691	187779
2049		211865	236683	187095
2050		212035	237672	186391
2051		212192	238656	185682
2052		212356	239628	184962
2053		212505	240596	184230
2054		212663	241557	183484
2055		212809	242512	182738
