Kategorie,bis 29 m²,30-49 m²,50-69 m²,70-99 m²,100-149 m²,150 m² u.m.
1-Zimmer,2836,7261,363,105,50,8
2-Zimmer,5,5932,17157,1428,153,20
3-Zimmer,2,161,13319,24669,1755,121
4-Zimmer,0,10,340,10294,7587,561
5-Zimmer,0,2,28,648,4779,1477
6-Zimmer u.m.,0,0,4,113,1831,3936
Alle,2843,13366,31211,37257,16155,6123
