Alter	Männer Erlenmatt	Männer Messe	Frauen Erlenmatt	Frauen Messe
0-4	136	112	120	88
5-9	102	111	109	85
10-14	60	98	74	85
15-19	41	121	41	101
20-24	86	165	66	197
25-29	151	260	172	271
30-34	192	268	212	227
35-39	227	256	199	195
40-44	180	210	148	181
45-49	94	173	70	153
50-54	65	179	48	140
55-59	51	142	38	115
60-64	41	99	28	114
65-69	22	103	29	81
70-74	19	60	25	65
75-79	12	38	15	41
80-84	7	25	18	44
85-89	7	12	27	19
90-94	4	3	12	10
95 u.m.	1		6	
