wohnviertel_id	Anteil Ausländer	Rang	wohnviertel	jahr_num
8	0.2142540293	1	Bachletten	2017
7	0.2398053002	2	Bruderholz	2017
30	0.241813602	3	Bettingen	2017
15	0.249463289	4	Hirzbrunnen	2017
20	0.2609673791	5	Riehen	2017
9	0.2752971876	6	Gotthelf	2017
1	0.2841698842	7	Altstadt Grossbasel	2017
14	0.3113924051	8	Wettstein	2017
4	0.3286163522	9	Breite	2017
5	0.3310629145	10	St. Alban	2017
3	0.3619796485	11	Am Ring	2017
12	0.3717532468	12	Altstadt Kleinbasel	2017
10	0.3791322927	13	Iselin	2017
2	0.3840478564	14	Vorstädte	2017
6	0.3930070673	15	Gundeldingen	2017
11	0.4300856531	16	St. Johann	2017
13	0.4674338883	17	Clara	2017
19	0.4743319269	18	Kleinhüningen	2017
17	0.5057022242	19	Matthäus	2017
18	0.5235010338	20	Klybeck	2017
16	0.5577767681	21	Rosental	2017
