WOV_ID	Wohnviertel	Anzahl 5-17-Jährige	Anteil 5-17-Jährige
1	Altstadt Grossbasel	49	30.1
2	Vorstädte	137	41.1
3	Am Ring	456	47.8
4	Breite	105	13.5
5	St. Alban	233	17.8
6	Gundeldingen	1239	82.9
7	Bruderholz	178	12.4
8	Bachletten	799	49.9
9	Gotthelf	526	74.6
10	Iselin	1447	79.2
11	St. Johann	1406	70.8
12	Altstadt Kleinbasel	127	90.7
13	Clara	306	99.4
14	Wettstein	231	49.8
15	Hirzbrunnen	432	34.6
16	Rosental	516	58.3
17	Matthäus	1420	98.4
18	Klybeck	826	98.9
19	Kleinhüningen	337	94.9
