Jahr	 Inland	 Ausland
2012	100	100
2013	102.9868128 	101.8990340 
2014	116.0635715 	103.9929941 
2015	127.0469128 	104.5700954 
2016	129.6048958 	105.5933928 
2017	135.3666591 	117.6054267 
2018	146.1349474 	120.8198872 
2019	152.1251647 	123.1898409 
2020	89.1841703 	34.6642012 
2021	128.2067317	49.8106692


