	2014	2015	2016	2017	2018
Basel-Stadt	6 801	7 306	7 618	8 834	9 026
Basel-Landschaft	2 441	2 452	2 447	2 355	2 306
Jura	1 739	1 726	1 711	1 632	1 525
BS/BL/JU	10 980	11 483	11 777	12 821	12 857

