Jahr	Basel-Stadt	Basel-Landschaft	Zürich	Genf	Bern
2010	446	357	369	453	406.1
2011	460	378	390	460	432.0
2012	494.5	409	419	488	468.5
2013	510	418	427.1	499.9	474.9
2014	523	431	432.5	519	480.9
2015	543	451	457	538.8	492.5
2016	558.5	470	473	564.3	500.5
2017	580	496	503	582	522.4
2018	602.8	522.5	515	612.6	541.0
