"Jahr"	"C"	"B"	"F"	"L"	"N"	"Übrige"
"2005"	36874	16117	433	2806	258	552
"2006"	36596	16520	418	4022	204	582
"2007"	35821	18142	348	3599	175	588
"2008"	35595	19619	302	3545	262	723
"2009"	35876	20532	293	3851	295	830
"2010"	36421	21838	327	2434	281	831
"2011"	37378	22527	348	2564	388	890
"2012"	38470	22447	364	2753	517	976
"2013"	39659	22818	391	3153	534	997
"2014"	39952	23844	568	2984	356	1075
"2015"	40481	24490	659	2445	425	1087
"2016"	41416	25049	734	2007	448	1154
"2017"	41830	25309	818	2096	399	1158
"2018"	43039	25416	870	2069	333	1204
"2019"	43102	26218	875	2187	272	661
"2020"	43322	27173	855	2181	214	950
"2021"	43067	27219	821	2142	189	996
"2022"	42940	28650	825	2210	217	2783
"2023"	42896	30302	874	1953	261	2921
"2024"	42932	31494	859	1742	211	3117

