Wohnviertel	Nettoproduktion 2016 bis 2025
Altstadt GB	103
Vorstädte	 95
Am Ring	245
Breite	318
St. Alban	825
Gundeldingen	735
Bruderholz	188
Bachletten	124
Gotthelf	117
Iselin	608
St. Johann	625
Altstadt KB	120
Clara	309
Wettstein	91
Hirzbrunnen	517
Rosental	750
Matthäus	125
Klybeck	159
Kleinhüningen	242
Riehen	793
Bettingen	50
