WOV_ID	WOV_NAME	Jahr	Anzahl Tropennächte 
1	Altstadt Grossbasel	2018	12
2	Vorstädte	2018	11
3	Am Ring	2018	12
4	Breite	2018	9
5	St. Alban	2018	13
6	Gundeldingen	2018	12
7	Bruderholz	2018	7
8	Bachletten	2018	11
9	Gotthelf	2018	10
10	Iselin	2018	12
11	St. Johann	2018	13
12	Altstadt Kleinbasel	2018	14
13	Clara	2018	12
14	Wettstein	2018	11
15	Hirzbrunnen	2018	11
16	Rosental	2018	14
17	Matthäus	2018	11
18	Klybeck	2018	12
19	Kleinhüningen	2018	11
20	Riehen	2018	7
30	Bettingen	2018	2
