Gemeinde	GemeindeDescr	PerNum	Per
2701	Basel	1	Kernstadt
2471	Bättwil	2	Übrige Agglomeration CH
2472	Büren (SO)	2	Übrige Agglomeration CH
2473	Dornach	2	Übrige Agglomeration CH
2474	Gempen	2	Übrige Agglomeration CH
2475	Hochwald	2	Übrige Agglomeration CH
2476	Hofstetten-Flüh	2	Übrige Agglomeration CH
2477	Metzerlen-Mariastein	2	Übrige Agglomeration CH
2478	Nuglar-St. Pantaleon	2	Übrige Agglomeration CH
2479	Rodersdorf	2	Übrige Agglomeration CH
2480	Seewen	2	Übrige Agglomeration CH
2481	Witterswil	2	Übrige Agglomeration CH
2611	Bärschwil	2	Übrige Agglomeration CH
2613	Breitenbach	2	Übrige Agglomeration CH
2614	Büsserach	2	Übrige Agglomeration CH
2615	Erschwil	2	Übrige Agglomeration CH
2616	Fehren	2	Übrige Agglomeration CH
2617	Grindel	2	Übrige Agglomeration CH
2618	Himmelried	2	Übrige Agglomeration CH
2619	Kleinlützel	2	Übrige Agglomeration CH
2620	Meltingen	2	Übrige Agglomeration CH
2621	Nunningen	2	Übrige Agglomeration CH
2622	Zullwil	2	Übrige Agglomeration CH
2702	Bettingen	2	Übrige Agglomeration CH
2703	Riehen	2	Übrige Agglomeration CH
2761	Aesch (BL)	2	Übrige Agglomeration CH
2762	Allschwil	2	Übrige Agglomeration CH
2763	Arlesheim	2	Übrige Agglomeration CH
2764	Biel-Benken	2	Übrige Agglomeration CH
2765	Binningen	2	Übrige Agglomeration CH
2766	Birsfelden	2	Übrige Agglomeration CH
2767	Bottmingen	2	Übrige Agglomeration CH
2768	Ettingen	2	Übrige Agglomeration CH
2769	Münchenstein	2	Übrige Agglomeration CH
2770	Muttenz	2	Übrige Agglomeration CH
2771	Oberwil (BL)	2	Übrige Agglomeration CH
2772	Pfeffingen	2	Übrige Agglomeration CH
2773	Reinach (BL)	2	Übrige Agglomeration CH
2774	Schönenbuch	2	Übrige Agglomeration CH
2775	Therwil	2	Übrige Agglomeration CH
2781	Blauen	2	Übrige Agglomeration CH
2782	Brislach	2	Übrige Agglomeration CH
2783	Burg im Leimental	2	Übrige Agglomeration CH
2784	Dittingen	2	Übrige Agglomeration CH
2785	Duggingen	2	Übrige Agglomeration CH
2786	Grellingen	2	Übrige Agglomeration CH
2787	Laufen	2	Übrige Agglomeration CH
2788	Liesberg	2	Übrige Agglomeration CH
2789	Nenzlingen	2	Übrige Agglomeration CH
2791	Röschenz	2	Übrige Agglomeration CH
2792	Wahlen	2	Übrige Agglomeration CH
2793	Zwingen	2	Übrige Agglomeration CH
2821	Arisdorf	2	Übrige Agglomeration CH
2822	Augst	2	Übrige Agglomeration CH
2823	Bubendorf	2	Übrige Agglomeration CH
2824	Frenkendorf	2	Übrige Agglomeration CH
2825	Füllinsdorf	2	Übrige Agglomeration CH
2826	Giebenach	2	Übrige Agglomeration CH
2827	Hersberg	2	Übrige Agglomeration CH
2828	Lausen	2	Übrige Agglomeration CH
2829	Liestal	2	Übrige Agglomeration CH
2830	Lupsingen	2	Übrige Agglomeration CH
2831	Pratteln	2	Übrige Agglomeration CH
2832	Ramlinsburg	2	Übrige Agglomeration CH
2833	Seltisberg	2	Übrige Agglomeration CH
2834	Ziefen	2	Übrige Agglomeration CH
2842	Böckten	2	Übrige Agglomeration CH
2843	Buckten	2	Übrige Agglomeration CH
2844	Buus	2	Übrige Agglomeration CH
2845	Diepflingen	2	Übrige Agglomeration CH
2846	Gelterkinden	2	Übrige Agglomeration CH
2848	Hemmiken	2	Übrige Agglomeration CH
2849	Itingen	2	Übrige Agglomeration CH
2850	Känerkinden	2	Übrige Agglomeration CH
2853	Maisprach	2	Übrige Agglomeration CH
2854	Nusshof	2	Übrige Agglomeration CH
2856	Ormalingen	2	Übrige Agglomeration CH
2857	Rickenbach (BL)	2	Übrige Agglomeration CH
2858	Rothenfluh	2	Übrige Agglomeration CH
2859	Rümlingen	2	Übrige Agglomeration CH
2860	Rünenberg	2	Übrige Agglomeration CH
2861	Sissach	2	Übrige Agglomeration CH
2862	Tecknau	2	Übrige Agglomeration CH
2863	Tenniken	2	Übrige Agglomeration CH
2864	Thürnen	2	Übrige Agglomeration CH
2866	Wintersingen	2	Übrige Agglomeration CH
2867	Wittinsburg	2	Übrige Agglomeration CH
2869	Zunzgen	2	Übrige Agglomeration CH
2881	Arboldswil	2	Übrige Agglomeration CH
2882	Bennwil	2	Übrige Agglomeration CH
2883	Bretzwil	2	Übrige Agglomeration CH
2884	Diegten	2	Übrige Agglomeration CH
2886	Hölstein	2	Übrige Agglomeration CH
2887	Lampenberg	2	Übrige Agglomeration CH
2889	Lauwil	2	Übrige Agglomeration CH
2890	Liedertswil	2	Übrige Agglomeration CH
2891	Niederdorf	2	Übrige Agglomeration CH
2892	Oberdorf (BL)	2	Übrige Agglomeration CH
2893	Reigoldswil	2	Übrige Agglomeration CH
2894	Titterten	2	Übrige Agglomeration CH
2895	Waldenburg	2	Übrige Agglomeration CH
4251	Hellikon	2	Übrige Agglomeration CH
4252	Kaiseraugst	2	Übrige Agglomeration CH
4253	Magden	2	Übrige Agglomeration CH
4254	Möhlin	2	Übrige Agglomeration CH
4256	Obermumpf	2	Übrige Agglomeration CH
4257	Olsberg	2	Übrige Agglomeration CH
4258	Rheinfelden	2	Übrige Agglomeration CH
4262	Wegenstetten	2	Übrige Agglomeration CH
4263	Zeiningen	2	Übrige Agglomeration CH
4264	Zuzgen	2	Übrige Agglomeration CH
DE_08336006	Bad Bellingen	3	Agglomeration D
DE_08336008	Binzen	3	Agglomeration D
DE_08336014	Efringen-Kirchen	3	Agglomeration D
DE_08336019	Eimeldingen	3	Agglomeration D
DE_08336024	Fischingen	3	Agglomeration D
DE_08336034	Hasel	3	Agglomeration D
