Jahr	Einfuhren	Ausfuhren
2016	26612775	52753612
2017	28895286	55927644
2018	30340850	56815220
2019	34160303	63761256
2020	31732060	66791820
2021	34687065	76816975
2022	41105801	81225722
2023	46267752	84576935
