Jahr	Schweizer Flagge	Ausländische Flagge
1964	3524.699	4005.271
1965	4021.125	4594.125
1966	3633.22	4773.936
1967	3578.809	4333.211
1968	3758.252	4050.361
1969	3913.129	4103.479
1970	4241.726	4683.1
1971	4078.664	4123.6
1972	4054.992	3870.594
1973	4155.089	4292.954
1974	4583.382	4756.81
1975	4116.444	4072.817
1976	4060.375	4231.563
1977	4328.928	4679.573
1978	4193.867	4492.482
1979	4523.146	4058.522
1980	4513.587	4505.92
1981	4151.587	4384.529
1982	3852.479	3518.713
1983	4303.074	3859.757
1984	4443.443	4327.842
1985	3993.798	4107.412
1986	3974.239	5013.1
1987	3437.045	4770.887
1988	3371.885	5080.907
1989	2922.291	5922.871
1990	2715.026	6479.512
1991	2617.165	5736.236
1992	2329.829	6201.081
1993	2299.805	5983.577
1994	2407.479	5799.295
1995	2133.692	5891.402
1996	1914.039	5246.244
1997	1776.926	6063.003
1998	2032.591	6076.156
1999	1843.992	5603.858
2000	2161.898	6383.835
2001	1990.275	6643.873
2002	1587.17	6667.463
2003	1306.108	5864.68
2004	1253.682	5991.947
2005	1245.752	6015.11
2006	1173.067	5576.66
2007	1223.82	5884.41
2008	1270.147	5942.115
2009	1327.29	5116.398
2010	1221.119	5297.157
2011	877.702	4800.286
2012	1641.557	5568.991
2013	1425.985	5403.699
2014	1349.063	4633.027
2015	1173.367	5160.471
2016	1009.903	4886.6
2017	919.503	4870.651
2018	752.623	3945.358
2019	781.205	5284.029
