"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	0.543	1.056	0.487	0.346	0.28
Bern	0.765	1.412	0.463		
Genf	0.515	0.902	0.554		0.235
Lausanne	0.635	0.881	0.518		
Zürich	0.703	1.174	0.502		
