"Alter"	" Tarif Alleinstehend mit Kind u.a."	" Tarif Alleinstehend"	" Tarif Verheiratet"	" Wohnbevölkerung"
0				1794
1				1947
2				1951
3				1920
4				1868
5				1827
6				1695
7				1798
8				1711
9				1748
10				1632
11				1600
12				1574
13				1523
14				1522
15				1521
16				1500
17				1492
18		1303		1499
19	4	1405		1673
20	5	1409	5	1811
21	5	1452	10	1980
22	12	1416	26	2141
23	19	1574	24	2460
24	32	1489	60	2595
25	34	1654	63	2857
26	34	1705	116	3070
27	37	1777	148	3210
28	64	1798	215	3406
29	84	1771	255	3585
30	111	1741	277	3557
31	121	1698	345	3595
32	146	1616	397	3432
33	178	1536	463	3576
34	179	1349	528	3384
35	244	1335	577	3435
36	227	1326	632	3402
37	282	1197	620	3306
38	283	1155	624	3255
39	288	1082	706	3253
40	267	951	617	2921
41	258	953	634	2873
42	262	941	624	2828
43	268	943	643	2827
44	256	851	674	2683
45	259	917	641	2736
46	247	851	573	2566
47	228	848	585	2509
48	197	924	603	2585
49	194	964	632	2597
50	225	1002	658	2722
51	211	1070	606	2756
52	164	1131	630	2756
53	179	1223	679	2965
54	162	1204	667	2893
55	144	1274	684	2968
56	113	1200	696	2786
57	91	1174	673	2712
58	82	1133	635	2639
59	56	1181	692	2699
60	57	1117	601	2455
61	25	1081	626	2341
62	24	1035	599	2272
63	21	1027	626	2266
64	18	911	570	2054
65	9	920	534	1974
66	9	868	517	1927
67	11	906	477	1901
68	5	880	422	1790
69	5	866	491	1857
70		873	501	1814
71		851	490	1791
72		839	422	1709
73		820	451	1693
74		781	446	1634
75		742	435	1561
76		801	435	1584
77		805	398	1564
78		718	375	1464
79		686	346	1329
80		677	310	1278
81		634	297	1195
82		663	292	1224
83		637	224	1086
84		657	253	1141
85		615	213	997
86		582	183	905
87		574	183	905
88		514	152	802
89		481	147	740
90		471	95	636
91		425	74	581
92		343	48	446
93		280	45	356
94		218	26	275
95		212	15	253
96		137	12	163
97		96	6	113
98		67		73
99		50		58
100		24		26
101		13		16
102		13		14
103		8		9
104		4		4
105				
106				
107				
108				
109				
110				
111				
112				
113				
114				
115				




