"Alter"	"Männer"	"Frauen"
"0-4"	2.73	2.58
"5-9"	2.59	2.44
"10-14"	2.06	2.03
"15-19"	1.73	1.46
"20-24"	2.22	2.31
"25-29"	4.21	4.45
"30-34"	6.06	6.22
"35-39"	6.20	5.97
"40-44"	5.64	5.03
"45-49"	4.50	4.05
"50-54"	3.98	3.40
"55-59"	3.35	2.76
"60-64"	2.28	1.77
"65-69"	1.40	1.26
"70-74"	1.06	0.98
"75-79"	0.73	0.70
"80-84"	0.55	0.57
"85-89"	0.24	0.29
"90-94"	0.06	0.12
"95 u.m."	0.01	0.03

