"Jahr"	"Effektiv BS"	"Hohes Szenario BS"	"Mittleres Szenario BS"	"Tiefes Szenario BS"	"Effektiv KB"	"Hohes Szenario KB"	"Mittleres Szenario KB"	"Tiefes Szenario KB"
"1985"	0.3058	""	""	""	0.2714	""	""	""
"1986"	0.3114	""	""	""	0.2771	""	""	""
"1987"	0.3145	""	""	""	0.2784	""	""	""
"1988"	0.3173	""	""	""	0.2769	""	""	""
"1989"	0.3201	""	""	""	0.2784	""	""	""
"1990"	0.3180	""	""	""	0.2752	""	""	""
"1991"	0.3175	""	""	""	0.2730	""	""	""
"1992"	0.3168	""	""	""	0.2690	""	""	""
"1993"	0.3171	""	""	""	0.2655	""	""	""
"1994"	0.3212	""	""	""	0.2691	""	""	""
"1995"	0.3240	""	""	""	0.2696	""	""	""
"1996"	0.3272	""	""	""	0.2715	""	""	""
"1997"	0.3311	""	""	""	0.2744	""	""	""
"1998"	0.3325	""	""	""	0.2755	""	""	""
"1999"	0.3362	""	""	""	0.2765	""	""	""
"2000"	0.3386	""	""	""	0.2773	""	""	""
"2001"	0.3385	""	""	""	0.2772	""	""	""
"2002"	0.3326	""	""	""	0.2686	""	""	""
"2003"	0.3290	""	""	""	0.2645	""	""	""
"2004"	0.3271	""	""	""	0.2612	""	""	""
"2005"	0.3271	""	""	""	0.2594	""	""	""
"2006"	0.3263	""	""	""	0.2578	""	""	""
"2007"	0.3267	""	""	""	0.2576	""	""	""
"2008"	0.3237	""	""	""	0.2531	""	""	""
"2009"	0.3202	""	""	""	0.2491	""	""	""
"2010"	0.3190	""	""	""	0.2525	""	""	""
"2011"	0.3167	""	""	""	0.2522	""	""	""
"2012"	0.3147	""	""	""	0.2507	""	""	""
"2013"	0.3121	""	""	""	0.2473	""	""	""
"2014"	0.3107	""	""	""	0.2450	""	""	""
"2015"	0.3093	""	""	""	0.2437	""	""	""
"2016"	0.3074	""	""	""	0.2406	""	""	""
"2017"	0.3060	""	""	""	0.2424	""	""	""
"2018"	0.3044	""	""	""	0.2456	""	""	""
"2019"	""	0.3029	0.3047	0.3068	""	0.2454	0.2472	0.2492
"2020"	""	0.3010	0.3047	0.3091	""	0.2434	0.2474	0.2519
"2021"	""	0.3001	0.3060	0.3128	""	0.2424	0.2489	0.2565
"2022"	""	0.2990	0.3070	0.3165	""	0.2394	0.2488	0.2595
"2023"	""	0.2975	0.3077	0.3198	""	0.2369	0.2491	0.2634
"2024"	""	0.2965	0.3089	0.3236	""	0.2354	0.2507	0.2686
"2025"	""	0.2968	0.3115	0.3289	""	0.2339	0.2522	0.2739
"2026"	""	0.2963	0.3132	0.3332	""	0.2316	0.2526	0.2778
"2027"	""	0.2963	0.3153	0.3377	""	0.2298	0.2534	0.2820
"2028"	""	0.2969	0.3179	0.3426	""	0.2286	0.2546	0.2863
"2029"	""	0.2985	0.3215	0.3484	""	0.2288	0.2571	0.2918
"2030"	""	0.2998	0.3245	0.3533	""	0.2286	0.2589	0.2962
"2031"	""	0.3016	0.3278	0.3583	""	0.2292	0.2613	0.3010
"2032"	""	0.3024	0.3298	0.3616	""	0.2283	0.2617	0.3028
"2033"	""	0.3036	0.3322	0.3650	""	0.2285	0.2632	0.3059
"2034"	""	0.3046	0.3341	0.3679	""	0.2284	0.2640	0.3079
"2035"	""	0.3050	0.3352	0.3696	""	0.2284	0.2648	0.3098
"2036"	""	0.3052	0.3360	0.3709	""	0.2278	0.2648	0.3106
"2037"	""	0.3053	0.3366	0.3719	""	0.2274	0.2648	0.3115
"2038"	""	0.3056	0.3374	0.3731	""	0.2270	0.2648	0.3124
"2039"	""	0.3061	0.3385	0.3747	""	0.2269	0.2650	0.3136
"2040"	""	0.3065	0.3394	0.3760	""	0.2267	0.2650	0.3148

